date,topic,question,response
Oct 13th,Activity,interesting,Very
Oct 13th,Activity,included,Strongly agree
Oct 13th,Activity,belong,Agree
Oct 13th,Activity,interesting,Very
Oct 13th,Activity,included,Strongly agree
Oct 13th,Activity,belong,Strongly agree
Oct 13th,Activity,interesting,Very
Oct 13th,Activity,included,Strongly agree
Oct 13th,Activity,belong,Strongly agree
Oct 13th,Activity,interesting,Very
Oct 13th,Activity,included,Strongly agree
Oct 13th,Activity,belong,Strongly agree
Oct 13th,Activity,interesting,Very
Oct 13th,Activity,included,Strongly agree
Oct 13th,Activity,belong,Strongly agree
Oct 13th,Activity,interesting,Very
Oct 13th,Activity,included,Strongly agree
Oct 13th,Activity,belong,Strongly agree
Oct 13th,Activity,interesting,Very
Oct 13th,Activity,included,Strongly agree
Oct 13th,Activity,belong,Strongly agree
Oct 13th,Activity,interesting,Very
Oct 13th,Activity,included,Strongly agree
Oct 13th,Activity,belong,Strongly agree
Oct 13th,Activity,interesting,Very
Oct 13th,Activity,included,Strongly agree
Oct 13th,Activity,belong,Strongly agree
Oct 13th,Activity,interesting,Very
Oct 13th,Activity,included,Strongly agree
Oct 13th,Activity,belong,Strongly agree
Oct 13th,Activity,interesting,Very
Oct 13th,Activity,included,Strongly agree
Oct 13th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Fairly
Oct 27th,Activity,included,Agree
Oct 27th,Activity,belong,Agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Fairly
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Fairly
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Neutral
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Fairly
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Fairly
Oct 27th,Activity,included,Neutral
Oct 27th,Activity,belong,Neutral
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Agree
Oct 27th,Activity,belong,Agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Fairly
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Agree
Oct 27th,Activity,interesting,Fairly
Oct 27th,Activity,included,Agree
Oct 27th,Activity,belong,Agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Fairly
Oct 27th,Activity,included,Agree
Oct 27th,Activity,belong,Agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Agree
Oct 27th,Activity,belong,Agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Fairly
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Fairly
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Fairly
Oct 27th,Activity,included,Agree
Oct 27th,Activity,belong,Neutral
Oct 27th,Activity,interesting,Fairly
Oct 27th,Activity,included,Agree
Oct 27th,Activity,belong,Neutral
Oct 27th,Activity,interesting,Fairly
Oct 27th,Activity,included,Agree
Oct 27th,Activity,belong,Agree
Oct 27th,Activity,interesting,Fairly
Oct 27th,Activity,included,Agree
Oct 27th,Activity,belong,Agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Agree
Oct 27th,Activity,belong,Agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Fairly
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Agree
Oct 27th,Activity,belong,Agree
Oct 27th,Activity,interesting,Fairly
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Agree
Oct 27th,Activity,belong,Agree
Oct 27th,Activity,interesting,Fairly
Oct 27th,Activity,included,Agree
Oct 27th,Activity,belong,Agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Fairly
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Agree
Oct 27th,Activity,belong,Agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Agree
Oct 27th,Activity,belong,Agree
Oct 27th,Activity,interesting,Fairly
Oct 27th,Activity,included,Agree
Oct 27th,Activity,belong,Agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Oct 27th,Activity,interesting,Very
Oct 27th,Activity,included,Strongly agree
Oct 27th,Activity,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Agree
Nov 17th,Guest Presenter,belong,Neutral
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Agree
Nov 17th,Guest Presenter,belong,Agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Fairly
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Fairly
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Neutral
Nov 17th,Guest Presenter,belong,Neutral
Nov 17th,Guest Presenter,interesting,Fairly
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Fairly
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Fairly
Nov 17th,Guest Presenter,included,Agree
Nov 17th,Guest Presenter,belong,Agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Fairly
Nov 17th,Guest Presenter,included,Agree
Nov 17th,Guest Presenter,belong,Agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Agree
Nov 17th,Guest Presenter,belong,Agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Agree
Nov 17th,Guest Presenter,belong,Agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Agree
Nov 17th,Guest Presenter,belong,Agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Neutral
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Neutral
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Agree
Nov 17th,Guest Presenter,belong,Agree
Nov 17th,Guest Presenter,interesting,Fairly
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
Nov 17th,Guest Presenter,interesting,Very
Nov 17th,Guest Presenter,included,Strongly agree
Nov 17th,Guest Presenter,belong,Strongly agree
